ingredient_id,name,properties,allergene
158,ouzo,__vegetarian__vegan__,
159,palm oil,__vegetarian__vegan__,
160,paprika,__vegetarian__vegan__,
161,parmesan cheese,__vegetarian__,__lactose__
162,parsley,__vegetarian__vegan__,
163,peanut paste,__vegetarian__vegan__,
164,pepper,__vegetarian__vegan__,
165,phyllo pastry,__vegetarian__vegan__,
166,piccadilly tomato,__vegetarian__vegan__,
167,pine nut,__vegetarian__vegan__,
168,pistachio,__vegetarian__vegan__,
169,plum,__vegetarian__vegan__,
170,pomegranate sauce,__vegetarian__vegan__,
171,potato,__vegetarian__vegan__,__gluten__
172,pumpkin,__vegetarian__vegan__,
173,raisin,__vegetarian__vegan__,
174,raki,__vegetarian__vegan__,
175,red bell pepper,__vegetarian__vegan__,
176,red chili ,__vegetarian__vegan__,
177,red chili powder,__vegetarian__vegan__,
178,red hot chilli pepper,__vegetarian__vegan__,
179,red mullet,,
180,red onion,__vegetarian__vegan__,
181,red pepper,__vegetarian__vegan__,
182,red radish,__vegetarian__vegan__,
183,rice,__vegetarian__vegan__,__gluten__
184,ricotta cheese,__vegetarian__,
185,rocket,__vegetarian__vegan__,
186,rose pepper,__vegetarian__vegan__,
187,salmon,,
188,salt,__vegetarian__vegan__,
189,sardine,,
190,scallion,__vegetarian__vegan__,
191,semolina,__vegetarian__vegan__,__gluten__
192,semolina flour,__vegetarian__vegan__,__gluten__
193,sesame seed,__vegetarian__vegan__,
194,shallot,__vegetarian__vegan__,
195,shrimp,,
196,small green pepper,__vegetarian__vegan__,
197,small tomato,__vegetarian__vegan__,
198,smoked paprika,__vegetarian__vegan__,
199,soy sauce,__vegetarian__vegan__,
200,soya mince,__vegetarian__vegan__,
201,spelt flour,__vegetarian__vegan__,
202,spinach,__vegetarian__vegan__,
203,spring onion,__vegetarian__vegan__,
204,stale bread,__vegetarian__vegan__,__gluten__
205,sugar,__vegetarian__vegan__,
206,sugar powder,__vegetarian__vegan__,
207,sumak,__vegetarian__vegan__,
208,sundried tomato,__vegetarian__vegan__,
209,sweet potato,__vegetarian__vegan__,
210,sweet vinegar,__vegetarian__vegan__,
211,tahini,__vegetarian__vegan__,
212,taleggio cheese,__vegetarian__,__lactose__
213,tamarind paste,__vegetarian__vegan__,
214,thai green curry paste,__vegetarian__vegan__,
215,tomato,__vegetarian__vegan__,
216,tomato paste,__vegetarian__vegan__,
217,tomato sauce,__vegetarian__vegan__,
218,tomato sauce in cubes,__vegetarian__vegan__,
219,tosella cheese,__vegetarian__,__lactose__
220,tuna fish,,
221,turkish allspice,__vegetarian__vegan__,
222,turkish pepper paste,__vegetarian__vegan__,
223,turkish phyllo pastry,__vegetarian__vegan__,
224,turmeric powder,__vegetarian__vegan__,
225,vanilla bean,__vegetarian__vegan__,
226,vanilla extract,__vegetarian__vegan__,
227,vanillin,__vegetarian__vegan__,
228,vegetable broth,__vegetarian__vegan__,
229,walnut,__vegetarian__vegan__,
230,water,__vegetarian__vegan__,
231,white vinegar,__vegetarian__vegan__,
232,white wine,__vegetarian__vegan__,
233,white yogurt,__vegetarian__,__lactose__
234,white/kamut flour,__vegetarian__vegan__,__gluten__
235,whole milk,__vegetarian__,__lactose__
236,yeast for dessert,__vegetarian__vegan__,
237,yellow bell pepper,__vegetarian__vegan__,
238,yellow pepper,__vegetarian__vegan__,
239,yenibahar,__vegetarian__vegan__,
240,zucchini,__vegetarian__vegan__,
